,author,count
536,"Pardo Bazán, Emilia, condesa de",3
537,"Coleridge, Christabel R. (Christabel Rose)",3
538,"Winlow, Clara Vostrovsky",3
539,"Scargill, William Pitt",3
540,"Wayne, Dorothy",3
541,"Flandrau, Charles Macomb",3
542,"Nixon-Roulet, Mary F.",3
543,"Sims, George R.",3
544,"Burgess, Gelett",3
545,"Young, Francis Brett",3
546,"Griffis, William Elliot",3
547,"Moncrieff, A. R. Hope (Ascott Robert Hope)",3
548,"Grant, James",3
549,"Ludovici, Anthony M. (Anthony Mario)",3
550,"Dodge, Natt N. (Natt Noyes)",3
551,"Frankau, Gilbert",3
552,"Alec-Tweedie, Mrs. (Ethel)",3
553,"Stevenson, Burton Egbert",3
554,"Lynch, Hannah",3
555,"Levy, Amy",3
556,"Speight, T. W. (Thomas Wilkinson)",3
557,"Kilmer, Joyce",3
558,"Syrett, Netta",3
559,"Riddell, J. H., Mrs.",3
560,"Banning, Margaret Culkin",3
561,"Roget, Peter Mark",2
562,"Frederic, Harold",2
563,"Hugo, Victor",2
564,"Service, Robert W. (Robert William)",2
565,"Raleigh, Walter Alexander, Sir",2
566,"Chesnutt, Charles W. (Charles Waddell)",2
567,"Carroll, Lewis",2
568,"Sharp, William",2
569,"Van Loon, Hendrik Willem",2
570,"Merritt, Abraham",2
571,"Brontë, Emily",2
572,"Okakura, Kakuzo",2
573,Stendhal,2
574,"Apollonius, Rhodius",2
575,"Guest, Edgar A. (Edgar Albert)",2
576,"Stevenson, Robert Louis ; Osbourne, Lloyd",2
577,"Altsheler, Joseph A. (Joseph Alexander)",2
578,"Sterne, Laurence",2
579,"Gogol, Nikolai Vasilevich",2
580,"Seton, Ernest Thompson",2
581,"Fielding, Henry",2
582,"Ruskin, John",2
583,"Whitman, Walt",2
584,"Thompson, Francis",2
585,"Blasco Ibáñez, Vicente",2
586,"Myerson, Abraham",2
587,"Andersen, H. C. (Hans Christian)",2
588,"Whibley, Charles",2
589,"Dixon, Thomas, Jr.",2
590,"Sanger, Margaret",2
591,"Peattie, Elia Wilkinson",2
592,United States. Central Intelligence Agency,2
593,"Baker, Samuel White, Sir",2
594,"Byrne, Donn",2
595,"Beckford, William",2
596,"Allen, James Lane",2
597,"Hamilton, Gail",2
598,Voltaire,2
599,"Mérimée, Prosper",2
600,"Mitford, Mary Russell",2
601,"Prentiss, E. (Elizabeth)",2
602,"Goldsmith, Oliver",2
603,"Huxley, Thomas Henry",2
604,"Gilman, Charlotte Perkins",2
605,"Irwin, Will",2
606,"Eddy, Mary Baker",2
607,"Ward, Adolphus William, Sir",2
608,"Parker, Gilbert",2
609,"Sutphen, Van Tassel",2
610,"Krehbiel, Henry Edward",2
611,"Inchbald, Mrs.",2
612,"Vigny, Alfred de",2
613,"Ibsen, Henrik",2
614,"Thompson, Maurice",2
615,"Spence, Catherine Helen",2
616,"Morris, Joseph E. (Joseph Ernest)",2
617,"Habberton, John",2
618,"Joyce, James",2
619,"Hume, David",2
620,"Douglas, Norman",2
621,"Hall, Bolton",2
622,"Symonds, John Addington",2
623,"Swift, Jonathan",2
624,"Patchin, Frank Gee",2
625,"Farnol, Jeffery",2
626,"Mundy, Talbot",2
627,"McCarthy, Justin H. (Justin Huntly)",2
628,"Longfellow, Henry Wadsworth",2
629,"Osbourne, Lloyd",2
630,"Shedlock, Marie L.",2
631,"Von Arnim, Elizabeth",2
632,"Slocum, Joshua",2
633,"Church, Alfred John ; Homer",2
634,"Spyri, Johanna",2
635,"Carnegie, Andrew",2
636,Molière,2
637,"Smith, Goldwin",2
638,"Blavatsky, H. P. (Helena Petrovna)",2
639,"Dobson, Austin",2
640,"Grand, Sarah",2
641,"Bellamy, Edward",2
