Etext Number,Type,Issued,Title,Language,LoCC,Authors,Opium Keywords,Genres,Themes
26247,Sound,2008-08-01,The Strange Case of Dr Jekyll & Mr Hyde,en,PR,"Stevenson, Robert Louis",['morphine'],"['Fiction', 'Literature', 'Science-Fiction & Fantasy']","['Horror tales', 'Psychological fiction', 'Physicians', 'London (England)', 'Self-experimentation in medicine', 'Multiple personality']"
26248,Sound,2008-08-01,"Life: Poem XXI
A Book",en,PS,"Dickinson, Emily",['morphine'],"['Literature', 'Poetry']",['American poetry']
26249,Sound,2008-08-01,The Light Princess,en,PR; PZ,"MacDonald, George",['morphine'],"['Fiction', 'Literature', 'Children & Young Adult Reading']","['Great Britain', ""Children's stories, English"", 'Fairy tales']"
26252,Sound,2008-08-01,The Prince and the Pauper,en,PS,"Twain, Mark",['morphine'],"['History', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Historical Fiction']","['Edward VI, King of England, 1537-1553', 'Boys', 'Impostors and imposture', 'Princes', 'London (England)', 'Poor children', 'Lookalikes', 'Social classes']"
26259,Text,2008-08-11,Her mother's secret,en,PS,"Southworth, Emma Dorothy Eliza Nevitte","['opium', 'heroin']","['Fiction', 'Literature']",[]
26260,Text,2008-08-11,This Simian World,en,PS,"Day, Clarence",['anodyne'],"['Humour', 'Literature', 'Science']","['American wit and humor', 'Evolution (Biology)', 'Wit and humor']"
26277,Text,2008-08-12,Margarita's Soul: The Romantic Recollections of a Man of Fifty,en,PS,"Bacon, Josephine Daskam",['heroin'],"['Fiction', 'Literature']",[]
26282,Text,2008-08-12,"The Witch of Salem; or, Credulity Run Mad",en,PS,"Musick, John R. (John Roy)",['heroin'],"['Fiction', 'Literature', 'History']","['Witches', 'Salem (Mass.)', 'Colonial period, ca. 1600-1775', 'Trials (Witchcraft)']"
26316,Text,2008-08-14,Virginia,en,PS,"Glasgow, Ellen Anderson Gholson",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Women', 'Wives', 'Virginia', 'Marriage']"
26324,Text,2008-08-15,Ravensdene Court,en,PR,"Fletcher, J. S. (Joseph Smith)",['soporific'],"['Fiction', 'Literature', 'Crime/Mystery']",['Detective and mystery stories']
26327,Text,2008-08-16,"Casa Braccio, Volumes 1 and 2",en,PS,"Crawford, F. Marion (Francis Marion)","['opium', 'laudanum']","['Fiction', 'Literature', 'Travel & Geography']",[]
26356,Text,2008-08-19,"A brother to dragons, and other old-time tales",en,PS,"Rives, Amélie","['poppy', 'heroin']","['Fiction', 'Literature', 'History']","['19th century', 'American fiction']"
26405,Text,2008-08-23,Penguin Persons & Peppermints,en,PS,"Eaton, Walter Prichard",['narcotic'],['Literature'],['Essays']
26417,Text,2008-08-24,A Sheaf of Corn,en,PR,"Mann, Mary E.",['narcotic'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Social life and customs', 'England']"
26420,Text,2008-08-24,The Convert,en,PS,"Robins, Elizabeth","['poppy', 'heroin', 'anodyne']","['Fiction', 'Literature', 'Gender & Sexuality Studies']","['Women', 'Suffragists', 'Feminist fiction']"
26429,Text,2008-08-25,Nights With Uncle Remus: Myths and Legends of the Old Plantation,en,PS,"Harris, Joel Chandler",['black smoke'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Plantation life', 'African American men', 'Animals', 'Georgia', 'Remus, Uncle (Fictitious character)', 'Social life and customs']"
26447,Text,2008-08-28,The Strange Case of Mortimer Fenley,en,PR,"Tracy, Louis",['soporific'],"['Fiction', 'Literature', 'Crime/Mystery']",['Detective and mystery stories']
26451,Text,2008-08-28,"A Stable for Nightmares; or, Weird Tales",en,PR,"Young, Charles L. (Charles Lawrence), Sir ; Le Fanu, Joseph Sheridan",['opium'],"['Fiction', 'Literature', 'Science-Fiction & Fantasy']",['Fantasy fiction']
26482,Text,2008-08-29,"Madeline Payne, the Detective's Daughter",en,PS,"Lynch, Lawrence L.","['laudanum', 'heroin']","['Fiction', 'Literature', 'Crime/Mystery']",['Detective and mystery stories']
26485,Text,2008-08-30,"The Making of Bobby Burnit
Being a Record of the Adventures of a Live American Young Man",en,PS,"Chester, George Randolph",['poppy'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Businessmen', 'Love stories', 'Young men']"
26494,Text,2008-08-30,"Vera; Or, The Nihilists",en,PR,"Wilde, Oscar",['heroin'],"['Fiction', 'Literature']",['English drama']
26514,Text,2008-09-03,The Iron Pirate: A Plain Tale of Strange Happenings on the Sea,en,PR,"Pemberton, Max","['black smoke', 'opium', 'poppy', 'soporific']","['Fiction', 'Pirates, Buccaneers, Corsairs, etc.', 'Literature']","['Sea stories', 'Pirates']"
26519,Text,2008-09-03,To Love,en,PR,"Peterson, Margaret",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Man-woman relationships', 'England']"
26523,Text,2008-09-04,The Jessica Letters: An Editor's Romance,en,PS,"Harris, Corra ; More, Paul Elmer","['opium', 'heroin']","['Fiction', 'Literature']",['Editors']
26526,Text,2008-09-04,Stingaree,en,PR,"Hornung, E. W. (Ernest William)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['20th century', 'Social life and customs', 'England']"
26527,Text,2008-09-04,Judith of the Cumberlands,en,PS,"MacGowan, Alice",['anodyne'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Cumberland Mountains']
26528,Text,2008-09-04,"Odd Numbers
Being Further Chronicles of Shorty McCabe",en,PS,"Ford, Sewell",['heroin'],"['Fiction', 'Humour', 'Literature']","['Humorous stories, American', 'New York (N.Y.)']"
26541,Text,2008-09-05,The Vicar of Bullhampton,en,PR,"Trollope, Anthony",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Clergy', 'England']"
26563,Text,2008-09-08,The Crack of Doom,en,PR,"Cromie, Robert",['heroin'],"['Literature', 'Science-Fiction & Fantasy']","['Paranormal fiction', 'Nuclear explosions']"
26564,Text,2008-09-09,Ivanhoe,nl,PR,"Scott, Walter",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']","['Ivanhoe, Wilfred of, Sir (Fictitious character)', 'Anglo-Saxons', 'Great Britain', 'Richard I, 1189-1199', 'Love stories', 'Normans', 'England', 'Knights and knighthood', 'Jews', 'Triangles (Interpersonal relations)']"
26573,Sound,2008-09-01,On the Duty of Civil Disobedience,en,HM; PS,"Thoreau, Henry David",['heroin'],"['Politics', 'Culture/Civilization/Society', 'Philosophy & Ethics']","['Government, Resistance to', 'Civil disobedience']"
26579,Sound,2008-09-01,Love Among the Chickens,en,PR,"Wodehouse, P. G. (Pelham Grenville)",['heroin'],"['Humour', 'Fiction', 'Culture/Civilization/Society']","['Humorous stories', 'Farm life', 'England', 'Ukridge, Stanley Featherstonehaugh (Fictitious character)', 'Chicken breeders']"
26580,Sound,2008-09-01,Many Voices,en,PR,"Nesbit, E. (Edith)",['heroin'],"['Literature', 'Poetry']",[]
26582,Sound,2008-09-01,Michael O'Halloran,en,PS,"Stratton-Porter, Gene",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Orphans', 'Indiana', 'City and town life', 'Didactic fiction']"
26583,Sound,2008-09-01,The Fortunes and Misfortunes of the Famous Moll Flanders,en,PR,"Defoe, Daniel",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Prostitutes', 'Criminals', 'Virginia', 'Women', 'British', 'Repentance', 'Children of prisoners', 'London (England)', 'England', 'Adventure stories', 'Picaresque literature']"
26584,Sound,2008-09-01,Night and Day,en,PR,"Woolf, Virginia",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Poets', 'Domestic fiction', 'Young women', 'Family relationships', 'Mothers and daughters', 'Biographers', 'Love stories', 'London (England)', 'Triangles (Interpersonal relations)']"
26587,Sound,2008-09-01,The Paradise Mystery,en,PR,"Fletcher, J. S. (Joseph Smith)",['heroin'],"['Literature', 'Crime/Mystery']",['Detective and mystery stories']
26588,Sound,2008-09-01,Ophelia,en,PR,"De la Mare, Walter",['heroin'],"['Literature', 'Poetry']",['Ophelia (Fictitious character)']
26589,Sound,2008-09-01,The Story of the Treasure Seekers,en,PR; PZ,"Nesbit, E. (Edith)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']","['Moneymaking projects', 'Great Britain', 'Family life', 'England', 'Siblings', 'Imagination', '19th century']"
26593,Text,2008-09-11,The Place of Honeymoons,en,PS,"MacGrath, Harold","['poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Princes', 'Singers', 'Rich people', 'Man-woman relationships']"
26596,Text,2008-09-11,Anna the Adventuress,en,PR,"Oppenheim, E. Phillips (Edward Phillips)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Sisters', 'Man-woman relationships']"
26599,Text,2008-09-12,A Black Adonis,en,PS,"Porter, Linn Boyd",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['African Americans']
26610,Text,2008-09-14,The Trail of the Hawk: A Comedy of the Seriousness of Life,en,PS,"Lewis, Sinclair","['black smoke', 'opium', 'poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Minnesota', 'City and town life']"
26612,Text,2008-09-14,A Pirate of Parts,en,PS,"Neville, Richard",['heroin'],"['Fiction', 'Pirates, Buccaneers, Corsairs, etc.', 'Literature']",['Theater']
26631,Text,2008-09-16,A Virginia Scout,en,PS,"Pendexter, Hugh",['anodyne'],"['Fiction', 'Culture/Civilization/Society', 'History']","['Frontier and pioneer life', ""Lord Dunmore's War, 1774""]"
26644,Text,2008-09-17,Friendship Village,en,PS,"Gale, Zona",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['City and town life', 'Short stories, American']"
26649,Text,2008-09-17,Terribly Intimate Portraits,en,PR,"Coward, Noel","['poppy', 'heroin']","['Humour', 'Literature']",['English wit and humor']
26651,Text,2008-09-18,The Flaming Jewel,en,PS,"Chambers, Robert W. (Robert William)",['heroin'],"['Fiction', 'Literature', 'Crime/Mystery']",['Jewel thieves']
26654,Text,2008-09-18,Peter and Wendy,en,PR; PZ,"Barrie, J. M. (James Matthew)",['heroin'],"['Fiction', 'Literature', 'Science-Fiction & Fantasy']","['Never-Never Land (Imaginary place)', 'Pirates', 'Fairies', 'Fantasy literature', 'Peter Pan (Fictitious character)']"
26667,Text,2008-09-19,"The Strange Adventures of Captain Dangerous, Vol. 1
Who was a sailor, a soldier, a merchant, a spy, a slave
among the moors...",en,PR,"Sala, George Augustus",['heroin'],"['Fiction', 'Literature']",['Adventure and adventurers']
26669,Text,2008-09-19,"The Strange Adventures of Captain Dangerous, Vol. 3 
Who was a sailor, a soldier, a merchant, a spy, a slave
among the moors...",en,PR,"Sala, George Augustus",['black smoke'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Adventure and adventurers']
26675,Text,2008-09-20,The Masque of the Elements,en,PS,"Scheffauer, Herman George",['poppy'],"['Literature', 'Poetry']",[]
26677,Text,2008-09-21,Athelstane Ford,en,PR,"Upward, Allen","['opium', 'poppy']","['Fiction', 'Literature']",['Adventure stories']
26698,Text,2008-09-24,Privy Seal: His Last Venture,en,PR,"Ford, Ford Madox",['poppy'],"['Fiction', 'Literature', 'Biographies']","['Catharine Howard, Queen, consort of Henry VIII, King of England, -1542', 'Great Britain', 'Biographical fiction', 'Queens']"
26700,Text,2008-09-25,"Saronia
A Romance of Ancient Ephesus",en,PR,"Short, Richard",['poppy'],"['Fiction', 'Literature', 'History']",['Ephesus (Extinct city)']
26702,Text,2008-09-26,Studies in love and in terror,en,PR,"Lowndes, Marie Belloc",['heroin'],"['Fiction', 'Literature']","['Love stories, English', 'Horror tales, English']"
26704,Text,2008-09-26,"A Woman at Bay; Or, A Fiend in Skirts",en,PS,"Carter, Nicholas (House name)","['opium', 'laudanum']","['Fiction', 'Literature', 'Crime/Mystery']",['Detective and mystery stories']
26716,Text,2008-09-28,"The Crown of Wild Olive
also Munera Pulveris; Pre-Raphaelitism; Aratra Pentelici; The Ethics of the Dust; Fiction, Fair and Foul; The Elements of Drawing",en,PR,"Ruskin, John","['narcotic', 'poppy', 'laudanum', 'heroin']","['Economics', 'Literature', 'Philosophy & Ethics', 'Teaching & Education']","['Drawing', 'Work', 'English literature', 'History and criticism', 'War', 'Study and teaching', 'Conduct of life']"
26719,Text,2008-09-28,An Anarchist Woman,en,PS,"Hapgood, Hutchins","['soporific', 'heroin']","['Literature', 'Culture/Civilization/Society', 'Politics']",['Anarchists']
26728,Text,2008-09-30,Aunt Jane of Kentucky,en,PS,"Hall, Eliza Calvert","['nepenthe', 'poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Domestic fiction', 'Older women', 'Kentucky', 'Widows']"
26732,Text,2008-09-30,Free Air,en,PS,"Lewis, Sinclair",['heroin'],"['Fiction', 'Literature']",['Women automobile drivers']
26733,Text,2008-10-01,More Trivia,en,PR,"Smith, Logan Pearsall",['poppy'],"['Language & Communication', 'Literature']",['English literature']
26740,Text,2008-10-01,The Picture of Dorian Gray,en,PR,"Wilde, Oscar","['opium', 'heroin', 'anodyne']","['Fiction', 'Literature', 'History', 'Philosophy & Ethics']","['Victoria, 1837-1901', 'Portraits', 'Supernatural', 'Great Britain', '1800-1950', 'Paranormal fiction', 'Appearance (Philosophy)', 'London (England)', 'Conduct of life', 'Didactic fiction']"
26742,Text,2008-10-01,The Chautauqua Girls At Home,en,PZ; PS,Pansy,['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Religion/Spirituality/Paranormal']","['Sisters', 'Physicians', 'Christian life', 'Soldiers', 'Conduct of life']"
26768,Text,2008-10-03,Ringfield: A Novel,en,PS,"Harrison, S. Frances (Susie Frances)",['heroin'],"['Fiction', 'Literature']",[]
26782,Text,2008-10-05,It Could Be Anything,en,PS,"Laumer, Keith",['black smoke'],"['Science Fiction', 'Literature', 'Science-Fiction & Fantasy']",[]
26785,Text,2008-10-06,Modern British Poetry,en,PR,,"['opium', 'poppy']","['Literature', 'Poetry']","['English poetry', '20th century', '19th century']"
26797,Text,2008-10-07,Something Else Again,en,PS,"Adams, Franklin P. (Franklin Pierce)",['heroin'],"['Humour', 'Literature', 'Poetry']","['Humorous poetry, American', 'Parodies']"
26800,Text,2008-10-07,"Hortus Vitae
Essays on the Gardening of Life",en,PR,"Lee, Vernon","['heroin', 'anodyne']","['Nature/Gardening/Animals', 'Literature']",['Essays']
26828,Text,2008-10-07,A Red Wallflower,en,PS,"Warner, Susan","['opium', 'narcotic', 'poppy', 'laudanum']","['Fiction', 'Literature']",[]
26851,Text,2008-10-09,Tom Brown at Oxford,en,PR; PZ,"Hughes, Thomas","['opium', 'narcotic']","['Fiction', 'Literature', 'Teaching & Education']","['University of Oxford', 'College stories']"
26861,Text,2008-10-09,"The Temple of Nature; or, the Origin of Society: A Poem, with Philosophical Notes",en,PR,"Darwin, Erasmus","['opium', 'poppy']","['Literature', 'Philosophy & Ethics', 'Poetry']","['Life', 'Origin', 'Cosmology']"
26862,Text,2008-10-10,"Howard Pyle's Book of pirates : fiction, fact & fancy concerning the buccaneers & marooners of the Spanish Main",en,PS,"Pyle, Howard",['opium'],"['Fiction', 'Culture/Civilization/Society', 'History']","['Sea stories, American', 'Spanish Main', 'Pirates', 'Buccaneers', 'Historical fiction, American']"
26889,Text,2008-10-12,The Pools of Silence,en,PR,"Stacpoole, H. De Vere (Henry De Vere)","['opium', 'heroin']","['Fiction', 'Literature', 'Travel & Geography']","['Congo (Democratic Republic)', 'Safaris']"
26905,Text,2008-10-12,Northern Lights,en,PS,"Parker, Gilbert",['narcotic'],"['Fiction', 'Literature', 'Travel & Geography']","['Canada, Northern']"
26910,Text,2008-10-13,"Stories of Authors, British and American",en,PR,"Chubb, Edwin Watts","['black smoke', 'opium', 'heroin']","['Literature', 'Biographies']","['Authors, American', 'Biography', 'Authors, English']"
26911,Text,2008-10-13,Crooked Trails and Straight,en,PS,"Raine, William MacLeod",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Western stories']
26916,Text,2008-10-14,Song-waves,en,PS,"Rand, Theodore H. (Theodore Harding)",['poppy'],"['Literature', 'Culture/Civilization/Society', 'Poetry']",['Canadian poetry']
26918,Text,2008-10-14,Spectra: A Book of Poetic Experiments,en,PS,"Bynner, Witter ; Ficke, Arthur Davison",['poppy'],"['Literature', 'Poetry']",['American poetry']
26925,Text,2008-10-14,"The Bradys Beyond Their Depth; Or, The Great Swamp Mystery",en,PS,"Doughty, Francis Worcester",['opium'],"['Fiction', 'Literature', 'Crime/Mystery']","['Detective and mystery stories', 'American fiction', 'Dime novels']"
26928,Text,2008-10-15,Ladies-In-Waiting,en,PS,"Wiggin, Kate Douglas Smith",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Courtship']
26934,Text,2008-10-16,Shawn of Skarrow,en,PS,"Ellis, James Tandy",['black smoke'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Kentucky']
26937,Text,2008-10-16,A Syllabus of Kentucky Folk-Songs,en,PS,"Combs, Josiah Henry ; Shearin, Hubert G. (Hubert Gibson)",['opium'],"['Literature', 'Culture/Civilization/Society', 'Music']","['Songs and music', 'Themes, motives', 'Kentucky', 'Folk poetry, American']"
26962,Text,2008-10-19,"Wilson's Tales of the Borders and of Scotland, Volume 17",en,PR,,"['narcotic', 'laudanum', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society']",['Scottish Borders (Scotland)']
26982,Text,2008-10-21,With Haig on the Somme,en,PR,"Parry, D. H.",['black smoke'],"['World War I', 'Fiction', 'History']","['World War, 1914-1918']"
26986,Text,2008-10-21,The Ghost Girl,en,PR,"Stacpoole, H. De Vere (Henry De Vere)",['poppy'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Charleston (S.C.)', 'Love stories', 'Guardian and ward']"
26992,Text,2008-10-22,The Wind Before the Dawn,en,PS,"Munger, Dell H.",['poppy'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Farm life', 'Psychological fiction', 'Kansas', 'Married women', ""Farmers' spouses""]"
26995,Text,2008-10-22,"Montezuma's Castle, and Other Weird Tales",en,PS,"Cory, Charles B. (Charles Barney)","['morphine', 'poppy']","['Fiction', 'Literature']","['Short stories, American']"
27024,Text,2008-10-25,"The Path of Dreams
Poems",en,PS,"Giltner, Leigh Gordon",['nepenthe'],"['Literature', 'Poetry']",['American poetry']
27025,Text,2008-10-25,Old Familiar Faces,en,PR,"Watts-Dunton, Theodore",['heroin'],"['Literature', 'Biographies']","['19th century', 'Biography', 'Authors, English']"
27051,Text,2008-10-26,The Trail to Yesterday,en,PS,"Seltzer, Charles Alden",['poppy'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Western stories']
27061,Text,2008-10-27,The Rider of Waroona,en,PR,"Scott, G. Firth",['heroin'],"['Fiction', 'Literature', 'Travel & Geography']",[]
27063,Text,2008-10-27,The Hero,en,PR,"Maugham, W. Somerset (William Somerset)",['anodyne'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']","['20th century', 'Social life and customs', 'Great Britain', 'South African War, 1899-1902']"
27067,Text,2008-10-27,The Fixed Period,en,PR,"Trollope, Anthony",['morphine'],"['Fiction', 'Culture/Civilization/Society', 'Science-Fiction & Fantasy']","['Killing of the elderly', 'Fantasy fiction']"
27071,Text,2008-10-28,The Third Miss Symons,en,PR,"Mayor, F. M. (Flora Macdonald)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Social life and customs', 'England', '19th century', 'Single women']"
27080,Text,2008-10-28,"G. K. Chesterton, A Critical Study",en,PR,"West, Julius",['heroin'],"['Language & Communication', 'Literature']","['Chesterton, G. K. (Gilbert Keith), 1874-1936', 'Criticism and interpretation']"
27116,Text,2008-11-01,When Winter Comes to Main Street,en,PR; PS,"Overton, Grant M. (Grant Martin)","['opium', 'poppy', 'heroin']","['Literature', 'History']","['20th century', 'English-speaking countries', 'Intellectual life', 'English literature', 'History and criticism', 'American literature']"
27124,Text,2008-11-02,De Negerhut,nl,PS,"Stowe, Harriet Beecher",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Politics']","['Plantation life', 'Enslaved persons', 'Political fiction', 'Southern States', 'Fugitive slaves', 'African Americans', 'Master and servant', 'Uncle Tom (Fictitious character)', 'Didactic fiction']"
27147,Text,2008-11-04,The Stretton Street Affair,en,PR,"Le Queux, William",['opium'],"['Literature', 'Crime/Mystery']",['Detective and mystery stories']
27153,Text,2008-11-04,Spare Hours,en,PR,"Brown, John",['opium'],"['Literature', 'Culture/Civilization/Society', 'Biographies']","['Biography', 'Authors, English', 'English essays', 'Dogs', 'Childhood and youth', 'Brown, John, 1810-1882', 'Art criticism', '19th century']"
27163,Text,2008-11-05,Suspended Judgments: Essays on Books and Sensations,en,PQ; PR,"Powys, John Cowper","['heroin', 'anodyne']","['Language & Communication', 'Literature']","['English literature', 'French literature', 'History and criticism']"
27164,Text,2008-11-05,Seven and Nine years Among the Camanches and Apaches: An Autobiography,en,PS,"Eastman, Edwin","['narcotic', 'soporific']","['Fiction', 'Culture/Civilization/Society', 'Biographies']","['Patent medicines', 'Indian captivities', 'Comanche Indians', 'Apache Indians', 'Eastman, Edwin (Fictitious character)']"
27169,Text,2008-11-06,"Fern Vale; or, the Queensland Squatter. Volume 1",en,PR,"Munro, Colin","['narcotic', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society']",['Queensland']
27180,Text,2008-11-06,The Wooden Horse,en,PR,"Walpole, Hugh",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Fathers and sons', 'Cornwall (England : County)']"
27202,Text,2008-11-08,"Wagner, the Wehr-Wolf",en,PR,"Reynolds, George W. M. (George William MacArthur)","['soporific', 'narcotic', 'heroin', 'anodyne']","['Fiction', 'Literature']",['Werewolves']
27209,Text,2008-11-09,The La Chance Mine Mystery,en,PS,"Jones, Susan Morrow",['morphine'],"['Fiction', 'Literature', 'Crime/Mystery']","['Canadian fiction', 'Detective and mystery stories']"
27225,Text,2008-11-10,A Woman's Will,en,PS,"Warner, Anne",['heroin'],"['Travel & Geography', 'Literature', 'Culture/Civilization/Society', 'Fiction']","['Europe', 'Americans', 'Widows']"
27231,Text,2008-11-11,The Riflemen of the Miami,en,PS,"Ellis, Edward Sylvester",['heroin'],"['Fiction', 'Culture/Civilization/Society', 'History']","['Ohio', 'Frontier and pioneer life', 'Indians of North America', 'Kentucky', 'Shawnee Indians']"
27232,Text,2008-11-11,The White Mice,en,PS,"Davis, Richard Harding","['morphine', 'soporific']","['Fiction', 'Literature', 'Travel & Geography']",[]
27246,Text,2008-11-12,Waiting for Daylight,en,PR,"Tomlinson, H. M. (Henry Major)",['black smoke'],"['Humour', 'Literature', 'History']","['World War, 1914-1918', 'English essays']"
27264,Text,2008-11-15,William Shakespeare,en,PR,"Masefield, John",['heroin'],"['Literature', 'History']","['Shakespeare, William, 1564-1616', 'Criticism and interpretation']"
27279,Text,2008-11-16,"Southern Literature From 1579-1895
A comprehensive review, with copious extracts and criticisms
for the use of schools and the general reader",en,PS,"Manly, Louise","['opium', 'nepenthe', 'heroin']","['Literature', 'Culture/Civilization/Society', 'History']","['Intellectual life', 'Southern states', 'History and criticism', 'Southern States', 'Literary collections', 'American literature', 'In literature']"
27284,Text,2008-11-16,"The Talking Horse, and Other Tales",en,PR,"Anstey, F.",['heroin'],"['Fiction', 'Humour', 'Humor', 'Literature']","['Short stories, English', '19th century', 'English fiction']"
27323,Text,2008-11-24,Bird of Paradise,en,PR,"Leverson, Ada",['heroin'],"['Fiction', 'Literature']",[]
27333,Text,2008-11-26,Pan and Æolus: Poems,en,PS,"Musgrove, Charles Hamilton",['poppy'],['Poetry'],[]
27336,Text,2008-11-27,Three Women,en,PS,"Wilcox, Ella Wheeler",['narcotic'],['Poetry'],[]
27337,Text,2008-11-27,From the Car Behind,en,PS,"Ingram, Eleanor M. (Eleanor Marie)","['narcotic', 'heroin']","['Fiction', 'Literature']",['Automobile racing']
27339,Text,2008-11-27,The Pagan Madonna,en,PS,"MacGrath, Harold","['opium', 'heroin']","['Fiction', 'Literature', 'Crime/Mystery']","['Ocean travel', 'Adventure stories', 'Pirates', 'Chance']"
27342,Text,2008-11-27,Athalie,en,PS,"Chambers, Robert W. (Robert William)",['heroin'],"['Fiction', 'Literature', 'Science-Fiction & Fantasy']","['Paranormal fiction', 'Man-woman relationships']"
27373,Text,2008-12-01,"Flora Lyndsay; or, Passages in an Eventful Life, Vol. I.",en,PS,"Moodie, Susanna","['poppy', 'heroin']","['Fiction', 'Literature']",[]
27375,Text,2008-12-01,"If Winter Don't
A.B.C.D.E.F. Notsomuchinson",en,PR,"Pain, Barry",['heroin'],"['Humour', 'Literature']","['Hutchinson, A. S. M. (Arthur Stuart-Menteth), 1880-1971. If winter comes', 'Parodies']"
27393,Text,2008-12-02,Medal of Honor,en,PS,"Reynolds, Mack",['heroin'],"['Science Fiction', 'Literature', 'Science-Fiction & Fantasy']",[]
27395,Text,2008-12-03,The Slave of Silence,en,PR,"White, Fred M. (Fred Merrick)",['heroin'],"['Fiction', 'Literature', 'Crime/Mystery']",[]
27400,Text,2008-12-03,The Martian: A Novel,en,PR,"Du Maurier, George",['poppy'],"['Fiction', 'Literature', 'Science-Fiction & Fantasy']","['Young men', 'Paris (France)', 'Martians', 'Human-alien encounters', 'Authors']"
27434,Text,2008-12-07,Doctor Jones' Picnic,en,PS,"Chapman, S. E. (Samuel E.)",['narcotic'],"['Fiction', 'Science-Fiction & Fantasy']",['Imaginary wars and battles']
27436,Text,2008-12-07,Brand Blotters,en,PS,"Raine, William MacLeod","['poppy', 'heroin']","['Fiction', 'Literature']",['Western stories']
27437,Text,2008-12-07,Desert Dust,en,PS,"Sabin, Edwin L. (Edwin Legrand)",['black smoke'],"['Fiction', 'Literature']",['Western stories']
27438,Text,2008-12-08,'Me--Smith',en,PS,"Lockhart, Caroline",['heroin'],"['Fiction', 'Literature']",['Cowboys']
27439,Text,2008-12-07,Sundry Accounts,en,PS,"Cobb, Irvin S. (Irvin Shrewsbury)",['narcotic'],"['Fiction', 'Literature', 'Culture/Civilization/Society']",['Social life and customs']
27444,Text,2008-12-07,Starman's Quest,en,PS,"Silverberg, Robert",['narcotic'],"['Science Fiction', 'Literature', 'Science-Fiction & Fantasy']",[]
27447,Text,2008-12-08,Mountain Blood: A Novel,en,PS,"Hergesheimer, Joseph",['black smoke'],"['Travel & Geography', 'Literature', 'Culture/Civilization/Society', 'Fiction']","['Mountain life', 'Virginia']"
27449,Text,2008-12-08,Border Ghost Stories,en,PR,"Pease, Howard",['nepenthe'],"['Fiction', 'Literature']",['Ghost stories']
27450,Text,2008-12-08,A History of Elizabethan Literature,en,PR,"Saintsbury, George","['nepenthe', 'heroin']","['Literature', 'Culture/Civilization/Society', 'History']","['Elizabeth I, Queen of England, 1533-1603', '16th century', 'Intellectual life', 'English literature', 'Great Britain', 'Early modern, 1500-1700', 'History and criticism', 'Relations with authors', 'Elizabeth, 1558-1603', 'England']"
27451,Text,2008-12-08,"Robert Burns. Vol. 2, Les Oeuvres",fr,PR,"Angellier, Auguste",['heroin'],"['Literature', 'Biographies', 'FR Biographie, Mémoires, Journal intime, Correspondance']","['Burns, Robert, 1759-1796']"
27457,Text,2008-12-08,The Woman Who Dared,en,PS,"Sargent, Epes","['heroin', 'anodyne']","['Literature', 'Poetry']",[]
27461,Text,2008-12-09,The Orchard of Tears,en,PR,"Rohmer, Sax","['opium', 'poppy']","['Fiction', 'Literature']",['Man-woman relationships']
