,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
12653,59904,"Tony, the Hero; Or, A Brave Boy's Adventures with a Tramp","Alger, Horatio, Jr.",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Short stories ; Diligence -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Tramps -- Juvenile fiction ; PZ ; Inheritance and succession -- Juvenile fiction ; Success -- Juvenile fiction ; Runaway teenagers -- Juvenile fiction ; Street life -- Juvenile fiction ; Bildungsromans ; Criminals -- Juvenile fiction ; Conduct of life -- Juvenile fiction,Public domain in the USA.,1890,"Horatio, Jr. Alger",male,American,1832.0,1899.0,Wikipedia,True,5
12654,59918,The Story of a Governess,"Oliphant, Mrs. (Margaret)",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,PR ; Governesses -- Fiction,Public domain in the USA.,1895,Margaret Oliphant,female,Scottish,1828.0,1897.0,Wikipedia,True,40
12655,59920,The Little Gods: A Masque of the Far East,"Thomas, Rowland",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Short stories, American ; Philippines -- Fiction ; PS",Public domain in the USA.,1909,Rowland Thomas,male,,1879.0,1698.0,"OpenLibrary, Wikidata",True,1
12656,59927,Black Sheep: A Novel,"Yates, Edmund",PR,Browsing: Literature; Browsing: Fiction,Fiction ; PR,Public domain in the USA.,1867,Edmund Yates,male,British,1831.0,1894.0,"Wikipedia, Wikidata",True,2
12657,59931,The Love-Story of Aliette Brunton,"Frankau, Gilbert",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Love stories ; English fiction -- 20th century ; PR,Public domain in the USA.,1922,Gilbert Frankau,male,British,1884.0,1904.0,"Wikipedia, OpenLibrary",True,3
12658,59935,Pegeen,"Brainerd, Eleanor Hoyt",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Painters -- Fiction ; Girls -- Fiction ; Neighbors -- Fiction ; New England -- Fiction ; Community life -- Fiction ; PS ; Shakers -- Fiction ; Man-woman relationships -- Fiction,Public domain in the USA.,1911,Eleanor Hoyt Brainerd,female,American,1868.0,1942.0,"Wikipedia, OpenLibrary",True,1
12659,59936,Peter Jameson: A Modern Romance,"Frankau, Gilbert",PR,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,"PR ; World War, 1914-1918 -- Fiction",Public domain in the USA.,1920,Gilbert Frankau,male,British,1884.0,1904.0,"Wikipedia, OpenLibrary",True,3
12660,59940,Rhymes of the Survey and Frontier,"Field, George Blackstone",PS,Browsing: History - General; Browsing: Literature; Browsing: Poetry,Canada -- History -- Poetry ; PS ; Canadian poetry -- 20th century,Public domain in the USA.,1911,George Blackstone Field,,,1883.0,1952.0,OpenLibrary,True,1
12661,59944,Impressions of Spain,"Calvert, Albert Frederick",DP,Browsing: History - European; Browsing: Travel & Geography,DP ; Spain -- Description and travel,Public domain in the USA.,1903,Albert Frederick Calvert,male,English,1872.0,1946.0,"Wikipedia, Wikidata",True,1
12662,59960,The Middle of the Road: A Novel,"Gibbs, Philip",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Husband and wife -- Fiction ; World War, 1914-1918 -- Veterans -- Fiction ; England -- Social conditions -- 20th century -- Fiction ; England -- Social life and customs -- 20th century -- Fiction ; British -- Foreign countries -- Fiction ; Man-woman relationships -- Fiction ; PR",Public domain in the USA.,1922,Philip Gibbs,male,"English, British",1877.0,1962.0,Wikipedia,True,3
