,Published Year,Etext Number
1092,1979,24857
1093,1979,69128
1094,1979,24719
1095,1979,27666
1096,1979,70328
1097,1979,14515
1098,1979,39344
1099,1979,36417
1100,1979,33122
1101,1979,36005
1102,1979,34845
1103,1979,39879
1104,1979,35224
1105,1979,28594
1106,1979,40163
1107,1979,21964
1108,1979,1855
1109,1979,38739
1110,1979,17108
1111,1979,46400
1112,1979,70506
1113,1979,54628
1114,1979,48547
1115,1979,15751
1116,1979,37823
1117,1979,73828
1118,1979,71712
1119,1979,17650
1120,1979,36565
1121,1979,63396
1122,1979,10092
1123,1979,44729
1124,1979,52448
1125,1979,63624
1126,1979,31532
1127,1979,61967
1128,1979,33102
1129,1979,38020
1130,1979,53130
1131,1979,73021
1132,1979,40173
1133,1979,20368
1134,1979,24197
1135,1979,32219
1136,1979,20106
1137,1979,60191
1138,1979,25480
1139,1979,68572
1140,1979,10544
1141,1979,48754
1142,1979,18206
1143,1979,35486
1144,1979,71179
1145,1979,29365
1146,1979,38676
1147,1979,40670
1148,1979,19550
1149,1979,20839
1150,1979,51500
1151,1979,57916
1152,1979,63157
1153,1979,70283
1154,1979,54576
1155,1979,56168
1156,1979,70016
1157,1979,40171
1158,1979,70855
1159,1979,46971
1160,1979,18328
1161,1979,31997
1162,1979,26120
1163,1979,1038
1164,1979,54454
1165,1979,32949
1166,1979,60880
1167,1979,24419
1168,1979,52823
1169,1979,18274
1170,1979,63455
1171,1979,69351
1172,1979,34607
1173,1979,50961
1174,1979,38555
1175,1979,21645
1176,1979,26121
1177,1979,49950
1178,1979,52940
1179,1979,37691
1180,1979,71753
1181,1979,61200
1182,1979,32960
1183,1979,54970
1184,1979,42747
1185,1979,15740
1186,1979,28655
1187,1979,49858
1188,1979,32146
1189,1979,65995
1190,1979,34850
1191,1979,39920
1192,1979,64888
1193,1979,56428
1194,1979,18673
1195,1979,24940
1196,1979,35902
1197,1979,39602
1198,1979,70640
1199,1979,71888
1200,1979,69934
1201,1979,58604
1202,1979,27764
1203,1979,54757
1204,1979,58728
1205,1979,52877
1206,1979,60261
1207,1979,60226
1208,1979,61725
1209,1979,62668
1210,1979,70802
1211,1979,50623
1212,1979,24285
1213,1979,29131
1214,1979,65424
1215,1979,72167
1216,1979,54394
1217,1979,34772
1218,1979,54203
1219,1979,57268
1220,1979,63405
1221,1979,71685
1222,1979,73930
1223,1979,34215
1224,1979,19958
1225,1979,44600
1226,1979,73261
1227,1979,22303
1228,1979,37947
1229,1979,68113
1230,1979,36279
1231,1979,32706
1232,1979,54334
1233,1979,70031
1234,1979,59131
1235,1979,32855
1236,1979,62590
1237,1979,75420
1238,1979,38153
1239,1979,12460
1240,1979,52061
1241,1979,73917
1242,1979,63616
1243,1979,40032
1244,1979,64573
1245,1979,56135
1246,1979,59743
1247,1979,47722
1248,1979,55531
1249,1979,67527
1250,1979,39610
1251,1979,27785
1252,1979,23430
1253,1979,3228
1254,1979,66089
1255,1979,39274
1256,1979,55256
1257,1979,54549
1258,1979,62456
1259,1979,71595
1260,1979,70781
1261,1979,28764
1262,1979,73532
1263,1979,20616
1264,1979,20893
1265,1979,70654
1266,1979,18934
1267,1979,33721
1268,1979,46248
1269,1979,52189
1270,1979,69834
1271,1979,33331
1272,1979,34552
1273,1979,15285
1274,1979,20497
1275,1979,56104
1276,1979,19977
1277,1979,54181
1278,1979,61152
1279,1979,43477
1280,1979,74579
1281,1979,55415
1282,1979,17618
1283,1979,68260
1284,1979,31217
1285,1979,31383
1286,1979,19893
1287,1979,33716
1288,1979,40381
1289,1979,20369
1290,1979,63407
1291,1979,36664
1292,1979,17192
1293,1979,60662
1294,1979,47239
1295,1979,63622
1296,1979,62948
1297,1979,33756
1298,1979,47643
1299,1979,38632
1300,1979,27790
1301,1979,58882
1302,1979,64223
1303,1979,67551
1304,1979,34655
1305,1979,52648
1306,1979,25371
1307,1979,48057
1308,1979,21991
1309,1979,51341
1310,1979,57045
1311,1979,74390
1312,1979,34447
1313,1979,33342
1314,1979,24826
1315,1979,48642
1316,1979,11441
1317,1979,51002
1318,1979,18217
1319,1979,59914
1320,1979,30993
1321,1979,26390
1322,1979,36591
1323,1979,55105
1324,1979,74112
1325,1979,28444
1326,1979,71671
1327,1979,40806
1328,1979,64749
1329,1979,69716
1330,1979,63603
1331,1979,21054
1332,1979,31832
1333,1979,53174
1334,1979,66212
1335,1979,27493
1336,1979,39041
1337,1979,50414
1338,1979,15478
1339,1979,69079
1340,1979,67310
1341,1979,28434
1342,1979,63354
1343,1979,44701
1344,1979,67714
1345,1979,55234
1346,1979,53538
1347,1979,57800
1348,1979,39459
1349,1979,27702
1350,1979,58588
1351,1979,25701
1352,1979,22236
1353,1979,32052
1354,1979,52385
1355,1979,21919
1356,1979,61589
1357,1979,33473
1358,1979,41940
1359,1979,48266
1360,1979,43770
1361,1979,49064
1362,1979,69016
1363,1979,47692
1364,1979,40442
1365,1979,23292
1366,1979,32772
1367,1979,22257
1368,1979,25118
1369,1979,60146
1370,1979,66550
1371,1979,39522
1372,1979,51259
1373,1979,67043
1374,1979,52607
1375,1979,67736
1376,1979,55930
1377,1979,28245
1378,1979,52325
1379,1979,25532
1380,1979,19896
1381,1979,67795
1382,1979,41388
1383,1979,27747
1384,1979,40232
1385,1979,66745
1386,1979,69725
1387,1979,53860
1388,1979,24457
1389,1979,53487
1390,1979,46756
1391,1979,47013
1392,1979,37388
1393,1979,61359
1394,1979,64419
1395,1979,73166
1396,1979,19368
1397,1979,68568
1398,1979,63379
1399,1979,50895
1400,1979,31413
1401,1979,68801
1402,1979,789
1403,1979,48492
1404,1979,23916
1405,1979,69672
1406,1979,39629
1407,1979,58695
1408,1979,75177
1409,1979,53945
1410,1979,20980
1411,1979,47515
1412,1979,50510
1413,1979,69337
1414,1979,57055
1415,1979,70130
1416,1979,33727
1417,1979,27052
1418,1979,48344
1419,1979,55347
1420,1979,69888
1421,1979,70301
1422,1979,71748
1423,1979,74301
1424,1979,30415
1425,1979,44496
1426,1979,39275
1427,1979,46605
1428,1979,33437
1429,1979,31789
1430,1979,61512
1431,1979,35771
1432,1979,71550
1433,1979,41283
1434,1979,27902
1435,1979,27595
1436,1979,61909
1437,1979,46019
1438,1979,27572
1439,1979,53375
1440,1979,44186
1441,1979,58836
1442,1979,69866
1443,1979,29257
1444,1979,67600
1445,1979,53719
1446,1979,18789
1447,1979,31370
1448,1979,57356
1449,1979,62599
1450,1979,19592
1451,1979,33421
1452,1979,67652
1453,1979,28445
1454,1979,25068
1455,1979,60756
1456,1979,46825
1457,1979,72426
1458,1979,65953
1459,1979,58717
1460,1979,22103
1461,1979,45376
1462,1979,56800
1463,1979,58881
1464,1979,40759
1465,1979,45256
1466,1979,61462
1467,1979,72542
1468,1979,43331
1469,1979,58813
1470,1979,47242
1471,1979,68823
1472,1979,27305
1473,1979,75522
1474,1979,11193
1475,1979,27139
1476,1979,36219
1477,1979,42949
1478,1979,57962
1479,1979,65304
1480,1979,43544
1481,1979,49829
1482,1979,24928
1483,1979,45912
1484,1979,71307
1485,1979,18350
1486,1979,46573
1487,1979,37407
1488,1979,47356
1489,1979,65091
1490,1979,24553
1491,1979,40069
1492,1979,21261
1493,1979,49166
1494,1979,25598
1495,1979,33830
1496,1979,65319
1497,1979,58270
1498,1979,58322
1499,1979,60252
1500,1979,72518
1501,1979,69184
1502,1979,57110
1503,1979,15198
1504,1979,63388
1505,1979,52237
1506,1979,56083
1507,1979,62947
1508,1979,74786
1509,1979,21416
1510,1979,35106
1511,1979,30939
1512,1979,68175
1513,1979,53697
1514,1979,9961
1515,1979,71752
1516,1979,45365
1517,1979,44794
1518,1979,71194
1519,1979,56570
1520,1979,25905
1521,1979,19115
1522,1979,30549
1523,1979,42199
1524,1979,71791
1525,1979,63373
1526,1979,70980
1527,1979,64944
1528,1979,48949
1529,1979,39394
1530,1979,17162
1531,1979,19935
1532,1979,20173
1533,1979,39047
1534,1979,58694
1535,1979,59698
1536,1979,41346
1537,1979,48897
1538,1979,33110
1539,1979,10018
1540,1979,45839
1541,1979,17953
1542,1979,70730
1543,1979,57215
1544,1979,36285
1545,1979,53210
1546,1979,38274
1547,1979,47466
1548,1979,53480
1549,1979,58681
1550,1979,67784
1551,1979,43677
1552,1979,50487
1553,1979,49065
1554,1979,28899
1555,1979,51390
1556,1979,69620
1557,1979,70146
1558,1979,55368
1559,1979,27444
1560,1979,22832
1561,1979,60471
1562,1979,28981
1563,1979,36228
1564,1979,16996
1565,1979,42163
1566,1979,44733
1567,1979,49982
1568,1979,21785
1569,1979,32488
1570,1979,18071
1571,1979,33582
1572,1979,51997
1573,1979,28442
1574,1979,50041
1575,1979,51116
1576,1979,22222
1577,1979,40064
1578,1979,26898
1579,1979,40246
1580,1979,46788
1581,1979,37785
1582,1979,61595
1583,1979,24532
1584,1979,53545
1585,1979,30113
1586,1979,54550
1587,1979,50096
1588,1979,22067
1589,1979,57042
