,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
101,"Reeve, Arthur B. (Arthur Benjamin)",Arthur Benjamin Reeve,male,American,1880.0,1936.0,Wikipedia,True
102,"Mason, A. E. W. (Alfred Edward Woodley)",Alfred Edward Woodley Mason,male,"English, French",1865.0,1948.0,Wikipedia,True
103,"Beach, Rex",Rex Beach,male,American,1877.0,1949.0,"Wikipedia, OpenLibrary",True
104,"Hough, Emerson",Emerson Hough,male,American,1857.0,1923.0,Wikipedia,True
105,"Blackmore, R. D. (Richard Doddridge)",Richard Doddridge Blackmore,male,English,1825.0,1900.0,Wikipedia,True
106,"Sinclair, May",May Sinclair,female,"English, British",1863.0,1946.0,Wikipedia,True
107,"Steel, Flora Annie Webster",Flora Annie Webster Steel,female,"English, British",1847.0,1929.0,Wikipedia,True
108,"Sinclair, Upton",Upton Sinclair,male,American,1878.0,1968.0,Wikipedia,True
109,"Rohmer, Sax",Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True
110,"Wiggin, Kate Douglas Smith",Kate Douglas Smith Wiggin,female,American,1856.0,1923.0,Wikipedia,True
111,"Henry, O.",O. Henry,male,American,1862.0,1910.0,Wikipedia,True
112,"Raine, William MacLeod",William MacLeod Raine,male,"American, British",1871.0,1954.0,"Wikipedia, OpenLibrary",True
113,"Moore, Frank Frankfort",Frank Frankfort Moore,male,Irish,1855.0,1931.0,Wikipedia,True
114,"Wallace, Edgar",Edgar Wallace,male,British,1875.0,1932.0,"Wikipedia, OpenLibrary",True
115,"Moore, George",George Moore,female,United Kingdom,1852.0,1933.0,"OpenLibrary, Wikidata",True
116,"Hewlett, Maurice",Maurice Hewlett,male,English,1861.0,1923.0,"Wikipedia, OpenLibrary, Wikidata",True
117,"Maclaren, Ian",Ian Maclaren,male,Scottish,1850.0,1907.0,Wikipedia,True
118,"Braddon, M. E. (Mary Elizabeth)",Mary Elizabeth Braddon,female,English,1835.0,1915.0,Wikipedia,True
