,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
517,"Symonds, John Addington",1,2,"{(4555, 'Percy Bysshe Shelley'): 2}",2,male,English,1
518,"Fletcher, Robert Huntington",1,2,"{(7201, 'A History of English Literature'): 2}",2,,,1
519,"Ingersoll, Robert Green",2,2,"{(38105, 'Shakespeare: A Lecture'): 1, (38106, 'Ingersollia\r\nGems of Thought from the Lectures, Speeches, and Conversations of Col. Robert G. Ingersoll, Representative of His Opinions and Beliefs'): 1}",1,male,American,3
520,"Harrison, Henry Sydnor",1,2,"{(9993, 'Captivating Mary Carstairs'): 2}",2,male,American,4
521,"Lytton, Edward Bulwer Lytton, Baron",1,2,"{(7605, 'The Caxtons: A Family Picture — Complete'): 2}",2,male,"British, English",3
522,"Libbey, Laura Jean",1,2,"{(53676, 'A Dangerous Flirtation; Or, Did Ida May Sin?'): 2}",2,female,American,1
523,"Wait, Frona Eunice",1,2,"{(68101, 'Yermah the Dorado: The story of a lost race'): 2}",2,female,American,1
524,"Lillibridge, Will",1,2,"{(17844, 'Ben Blair\nThe Story of a Plainsman'): 2}",2,male,American,2
525,"Stockton, Frank R.",1,2,"{(10948, 'The Stories of the Three Burglars'): 2}",2,male,American,18
526,"Durham, Robert Lee",1,2,"{(45206, 'The Call of the South'): 2}",2,male,American,1
527,"Lincoln, Natalie Sumner",2,2,"{(66627, ""The Cat's Paw""): 1, (69388, 'The official chaperon'): 1}",1,female,American,5
528,"Lindsay, Vachel",1,2,"{(67947, 'A Handy Guide for Beggars: Especially Those of the Poetic Fraternity\r\nBeing Sundry Explorations, Made While Afoot and Penniless in Florida, Georgia, North Carolina, Tennessee, Kentucky, New Jersey, and Pennsylvania. These Adventures Convey and Illustrate the Rules of Beggary for Poets and Some Others.'): 2}",2,male,American,4
529,"Herbert, A. P. (Alan Patrick)",1,2,"{(35164, 'The Secret Battle'): 2}",2,male,English,2
530,"Fleming, May Agnes",2,2,"{(7063, 'A Terrible Secret: A Novel'): 1, (35035, ""The Actress' Daughter: A Novel""): 1}",1,female,Canadian,5
531,"Dye, Eva Emery",1,2,"{(42925, 'The Conquest: The True Story of Lewis and Clark'): 2}",2,female,American,1
532,"Luther, Mark Lee",1,2,"{(19148, 'The Henchman'): 2}",2,,,1
533,"Lundsford, Hugh",1,2,"{(34208, 'The Law of Hemlock Mountain'): 2}",2,male,American,1
534,Vera,2,2,"{(6809, ""The Doctor's Daughter""): 1, (8448, ""Honor Edgeworth; Or, Ottawa's Present Tense""): 1}",1,female,Russian,2
535,"Eddison, Eric Rücker",1,2,"{(67090, 'The Worm Ouroboros: A Romance'): 2}",2,male,"British, English",1
536,"Hay, Ian",2,2,"{(41574, ""A Man's Man""): 1, (46549, 'The Willing Horse: A Novel'): 1}",1,male,British,7
537,"Lowell, Amy",2,2,"{(1020, 'Sword Blades and Poppy Seed'): 1, (68156, ""Can Grande's castle""): 1}",1,female,American,3
538,"Lewis, Wyndham",1,2,"{(58340, 'Tarr'): 2}",2,male,"English, Canadian, British",1
539,"Hocking, Joseph",2,2,"{(27591, 'The Birthright'): 1, (39218, 'The Everlasting Arms'): 1}",1,male,British,7
540,"Holland, J. G. (Josiah Gilbert)",2,2,"{(6442, 'Bitter-Sweet: A Poem'): 1, (15214, 'Sevenoaks: A Story of Today'): 1}",1,male,American,1
541,"Fitzgerald, F. Scott (Francis Scott)",2,2,"{(4368, 'Flappers and Philosophers'): 1, (6695, 'Tales of the Jazz Age'): 1}",1,male,American,3
542,"Hay, James",1,2,"{(20152, 'The Winning Clue'): 2}",2,male,"Scottish, Australian",2
543,"MacGill, Patrick",1,2,"{(54990, 'The Brown Brethren'): 2}",2,male,Irish,2
544,"Shea, Robert",1,2,"{(28976, 'Shaman'): 2}",2,male,"American, British",1
545,"Hocking, Silas K. (Silas Kitto)",1,2,"{(39417, 'A Gamble with Life'): 2}",2,male,British,1
546,"Firbank, Ronald",2,2,"{(59249, 'The Flower Beneath the Foot\r\nBeing a record of the early life of St. Laura de Nazianzi and the times in which she lived'): 1, (66300, 'Sorrow in Sunlight'): 1}",1,male,English,1
547,"Eggleston, Edward",2,2,"{(14051, 'The End of the World: A Love Story'): 1, (25661, 'Duffels'): 1}",1,male,American,6
548,"Leverage, Henry",1,2,"{(34046, 'Whispering Wires'): 2}",2,male,American,2
549,"Shaw, Bernard",2,2,"{(3543, 'Heartbreak House'): 1, (11354, 'The Irrational Knot\nBeing the Second Novel of His Nonage'): 1}",1,male,Irish,28
550,"Sharp, William",1,2,"{(14476, 'Life of Robert Browning'): 2}",2,male,United Kingdom,5
551,"Senarens, Luis",1,2,"{(55374, 'Frank Reade, Jr., Fighting the Terror of the Coast'): 2}",2,male,American,1
552,"M'Govan, James",1,2,"{(58711, 'Traced and Tracked; Or, Memoirs of a City Detective'): 2}",2,male,Scottish,1
553,"Young, Rose E. (Rose Emmet)",1,1,"{(23391, 'Sally of Missouri'): 1}",1,female,American,1
554,"Zangwill, Louis",1,1,"{(33747, 'An Engagement of Convenience: A Novel'): 1}",1,male,English,2
555,"Wolfe, Theodore F. (Theodore Frelinghuysen)",1,1,"{(38889, 'Literary Shrines: The Haunts of Some Famous American Authors'): 1}",1,male,,1
556,"Smyth, Clifford",1,1,"{(42699, 'The Gilded Man: A Romance of the Andes'): 1}",1,male,United Kingdom,1
557,"Rhodes, Eugene Manlove",1,1,"{(73330, 'Good men and true, and Hit the line hard'): 1}",1,male,American,2
558,"Wingfield, Lewis",1,1,"{(38853, 'The Curse of Koshiu: A Chronicle of Old Japan'): 1}",1,female,Irish,1
559,"Ransome, Arthur",1,1,"{(36017, 'Oscar Wilde, a Critical Study'): 1}",1,male,English,2
560,"Wood, Eugene",1,1,"{(2642, 'Back Home'): 1}",1,male,,1
561,"Sykes, D. F. E.",1,1,"{(54121, 'Tom Pinder, Foundling: A Story of the Holmfirth Flood'): 1}",1,male,,1
562,Sui Sin Far,1,1,"{(62940, 'Mrs. Spring Fragrance'): 1}",1,female,"Canadian, American",1
563,"Sutcliffe, Halliwell",1,1,"{(63476, 'A Man of the Moors'): 1}",1,male,"United Kingdom, United Kingdom of Great Britain and Ireland",5
564,"Strobridge, Idah Meacham",1,1,"{(67347, 'The Loom of the Desert'): 1}",1,female,American,1
565,"Ridge, Lola",1,1,"{(4331, 'Sun-Up, and Other Poems'): 1}",1,female,"Irish-American, Irish, New Zealand, American",2
566,"Ray, Anna Chapin",1,1,"{(29760, 'The Dominant Strain'): 1}",1,female,American,4
567,"Prichard, Katharine Susannah",1,1,"{(36710, 'The Black Opal'): 1}",1,female,Australian,1
568,"Raleigh, Walter Alexander, Sir",1,1,"{(333, 'Robert Louis Stevenson'): 1}",1,male,"British, English",3
569,"Woods, Katharine Pearson",1,1,"{(67671, 'Metzerott, Shoemaker'): 1}",1,female,American,1
570,"Tarkington, Booth",1,1,"{(1098, 'The Turmoil: A Novel'): 1}",1,male,American,16
571,"Wood, Joanna E. (Joanna Ellen)",1,1,"{(58876, 'Judith Moore; or, Fashioning a Pipe'): 1}",1,female,Canadian,1
572,"Stearns, Frank Preston",1,1,"{(7170, 'The Life and Genius of Nathaniel Hawthorne'): 1}",1,male,American,1
573,"Wyllarde, Dolf",1,1,"{(69777, 'The rat-trap'): 1}",1,female,"English, British",1
574,"Stretton, Hesba",1,1,"{(59094, 'Half Brothers'): 1}",1,female,English,4
575,"Stoddard, John L. (John Lawson)",1,1,"{(11091, 'Poems'): 1}",1,male,American,1
576,"Stables, Gordon",1,1,"{(68888, 'How Jack Mackenzie won his epaulettes'): 1}",1,male,Scottish,2
577,"Yates, Dornford",1,1,"{(748, 'The Brother of Daphne'): 1}",1,male,English,3
578,"Swan, Annie S.",1,1,"{(42926, 'The Last of Their Race'): 1}",1,female,Scottish,2
579,"Wallace, Frederick William",1,1,"{(40853, 'The Viking Blood: A Story of Seafaring'): 1}",1,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1
580,"Smith, Logan Pearsall",1,1,"{(8544, 'Trivia'): 1}",1,male,"American, British, English",2
581,"Sharp, Evelyn",1,1,"{(42153, 'The Making of a Prig'): 1}",1,female,"United Kingdom, United Kingdom of Great Britain and Ireland",2
582,"West, Rebecca",1,1,"{(16125, 'The Judge'): 1}",1,female,British,2
583,"Tomlinson, H. M. (Henry Major)",1,1,"{(25523, 'Old Junk'): 1}",1,male,British,1
584,"Webb, Mary Gladys Meredith",1,1,"{(7055, 'Gone to Earth'): 1}",1,female,English,1
585,"Watts, Mary S. (Mary Stanbery)",1,1,"{(59640, ""The Tenants: An Episode of the '80s""): 1}",1,female,American,1
586,"Runciman, James",1,1,"{(14432, 'A Dream of the North Sea'): 1}",1,male,English,4
587,"Russell, Frances Theresa",1,1,"{(67581, 'Satire in the Victorian novel'): 1}",1,female,"American, English",1
588,"Russell, George William",1,1,"{(8105, 'Imaginations and Reveries'): 1}",1,male,Irish,4
589,"Tynan, Katharine",1,1,"{(20201, 'Mary Gray'): 1}",1,female,Irish,4
590,"Watson, Robert",1,1,"{(31728, 'My Brave and Gallant Gentleman: A Romance of British Columbia'): 1}",1,male,United Kingdom,1
591,"Setoun, Gabriel",1,1,"{(30721, 'Robert Burns'): 1}",1,male,Scottish,1
592,"Westall, William",1,1,"{(14779, 'Mr. Fortescue: An Andean Romance'): 1}",1,male,United Kingdom,1
593,"Seton, Ernest Thompson",1,1,"{(30313, 'The Preacher of Cedar Mountain: A Tale of the Open Country'): 1}",1,male,"Canadian, American",2
594,"Serviss, Garrett Putman",1,1,"{(8673, 'A Columbus of Space'): 1}",1,male,American,5
595,"Warner, Susan",1,1,"{(26828, 'A Red Wallflower'): 1}",1,female,American,2
596,"Santayana, George",1,1,"{(48429, 'Soliloquies in England, and Later Soliloquies'): 1}",1,male,American,1
597,"Warman, Cy",1,1,"{(71261, 'The White Mail'): 1}",1,male,American,2
598,"Schreiner, Olive",1,1,"{(1441, 'The Story of an African Farm'): 1}",1,female,South Africa,4
599,"Scudder, Horace Elisha",1,1,"{(57776, 'James Russell Lowell, A Biography; vol. 1/2'): 1}",1,male,American,1
600,"Sellar, Robert",1,1,"{(66150, 'Gleaner Tales'): 1}",1,male,United Kingdom of Great Britain and Ireland,1
601,"Sedgwick, Anne Douglas",1,1,"{(8087, 'A Fountain Sealed'): 1}",1,female,"British, American",11
602,"Royle, Edwin Milton",1,1,"{(51611, 'The Silent Call'): 1}",1,male,American,1
603,"Rowland, Helen",1,1,"{(31467, 'The Rubáiyát of a Bachelor'): 1}",1,female,American,2
604,"Riis, Jacob A. (Jacob August)",1,1,"{(21583, 'Children of the Tenements'): 1}",1,male,American,3
605,"Smith, Charlotte",1,1,"{(41646, 'Emmeline, the Orphan of the Castle'): 1}",1,female,"Kingdom of Great Britain, United Kingdom of Great Britain and Ireland",1
606,"Wilkinson, William Cleaver",1,1,"{(43247, 'The Epic of Saul'): 1}",1,male,"German, English",2
607,"Smith, Harriet L. (Harriet Lummis)",1,1,"{(23157, ""Other People's Business: The Romantic Career of the Practical Miss Dale""): 1}",1,female,American,2
608,"Rittenhouse, Jessie Belle",1,1,"{(55447, 'The Younger American Poets'): 1}",1,female,American,1
609,"Wilder, Marshall P. (Marshall Pinckney)",1,1,"{(65520, 'The Sunny Side of the Street'): 1}",1,male,United States,1
610,"Smith, Francis Hopkinson",1,1,"{(34284, 'The Wood Fire in No. 3'): 1}",1,male,American,21
611,"Wilcox, Ella Wheeler",1,1,"{(27336, 'Three Women'): 1}",1,female,American,16
612,"Thomas, Rowland",1,1,"{(59920, 'The Little Gods: A Masque of the Far East'): 1}",1,male,,1
613,"Roberts, Morley",1,1,"{(68919, 'The promotion of the admiral, and other sea comedies'): 1}",1,male,United Kingdom,6
614,"Whitney, A. D. T. (Adeline Dutton Train)",1,1,"{(16329, 'The Other Girls'): 1}",1,female,American,1
615,"Sladen, Douglas Brooke Wheelton",1,1,"{(47944, 'The Admiral: A Romance of Nelson in the Year of the Nile'): 1}",1,male,English,2
616,"Ross, Robert Baldwin",1,1,"{(17601, 'Masques & Phases'): 1}",1,male,"Canada, United Kingdom",1
617,"Robertson, Morgan",1,1,"{(69268, 'Over the border'): 1}",1,male,American,3
618,"Whitmore, Clara Helen",1,1,"{(34613, ""Woman's Work in English Fiction, from the Restoration to the Mid-Victorian Period""): 1}",1,female,English,1
619,"Thompson, Slason",1,1,"{(12985, 'Eugene Field, a Study in Heredity and Contradictions — Volume 2'): 1}",1,male,Canada,1
620,"Thomson, Edward William",1,1,"{(55431, 'Old Man Savarin Stories: Tales of Canada and Canadians'): 1}",1,male,,2
621,"White, Grace Miller",1,1,"{(22064, 'Tess of the Storm Country'): 1}",1,female,American,4
622,"Sinclair, Bertrand W.",1,1,"{(18150, 'The Hidden Places'): 1}",1,female,United States,5
623,"Roe, Mary A. (Mary Abigail)",1,1,"{(36023, 'E. P. Roe: Reminiscences of his Life'): 1}",1,female,American,1
624,"Weyman, Stanley John",1,1,"{(39138, 'Starvecrow Farm'): 1}",1,male,English,24
625,"Ross, Albert",1,1,"{(40937, 'A New Sensation'): 1}",1,male,United States,1
626,"Scott, Leroy",1,1,"{(41180, 'To Him That Hath'): 1}",1,male,American,6
627,"Abbott, Edwin Abbott",1,1,"{(56843, 'Silanus the Christian'): 1}",1,male,"British, English",1
628,"Portor, Laura Spencer",1,1,"{(69882, 'Adventures in indigence, and other essays'): 1}",1,female,American,1
629,"Poole, Ernest",1,1,"{(14396, 'His Family'): 1}",1,male,American,3
630,"FitzGerald, Edward",1,1,"{(21434, 'Letters of Edward FitzGerald to Fanny Kemble (1871-1883)'): 1}",1,male,English,1
631,"Finley, Martha",1,1,"{(48249, 'Signing the Contract, and What It Cost'): 1}",1,female,American,2
632,"Fawcett, Edgar",1,1,"{(38075, 'An Ambitious Woman: A Novel'): 1}",1,male,American,2
633,"Farrer, Reginald",1,1,"{(62469, 'The Sundered Streams: The History of a Memory That Had No Full Stops'): 1}",1,male,English,1
634,"Falconer, Lanoe",1,1,"{(15258, 'Cecilia de Noël'): 1}",1,female,United Kingdom of Great Britain and Ireland,1
635,"Everett-Green, Evelyn",1,1,"{(68596, 'Eustace Marchmont: A friend of the people'): 1}",1,female,English,1
636,"Emerson, Willis George",1,1,"{(52461, 'The Treasure of Hidden Valley'): 1}",1,male,American,5
637,"Ellis, Havelock",1,1,"{(59409, 'Index of the Project Gutenberg Works of Havelock Ellis'): 1}",1,male,"British, English",2
638,"Elliott, Maud Howe",1,1,"{(42283, 'The San Rosario Ranch'): 1}",1,female,American,2
639,"Elliott, Francis Perry",1,1,"{(33780, 'The Haunted Pajamas'): 1}",1,male,American,1
640,"Edwards, Albert",1,1,"{(38860, 'Comrade Yetta'): 1}",1,male,"Australia, United Kingdom of Great Britain and Ireland",2
641,"Eastman, Max",1,1,"{(36051, 'Colors of Life: Poems and Songs and Sonnets'): 1}",1,male,American,1
642,"Dunsany, Lord",1,1,"{(11440, 'Tales of Three Hemispheres'): 1}",1,male,"Anglo-Irish, English",12
643,Dum-Dum,1,1,"{(20370, 'Rhymes of the East and Re-collected Verses'): 1}",1,male,Brazil,1
644,"Doyle, C. W. (Charles William)",1,1,"{(35644, 'The Taming of the Jungle'): 1}",1,male,"Kingdom of Great Britain, United Kingdom of Great Britain and Ireland, Kingdom of Ireland",1
645,"Dowden, Edward",1,1,"{(61983, 'Southey'): 1}",1,male,Irish,1
646,"Douglas, George",1,1,"{(34876, ""The 'Blackwood' Group""): 1}",1,male,United States,1
647,"Dougall, L. (Lily)",1,1,"{(16398, 'What Necessity Knows'): 1}",1,female,Canadian,2
648,"Dos Passos, John",1,1,"{(6362, 'Three Soldiers'): 1}",1,male,American,1
649,"Donovan, Dick",1,1,"{(68123, 'The chronicles of Michael Danevitch of the Russian Secret Service'): 1}",1,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1
650,"Dobie, Charles Caldwell",1,1,"{(13178, 'Broken to the Plow\r\nA Novel'): 1}",1,male,American,1
651,"De Mille, James",1,1,"{(28435, 'The Cryptogram: A Novel'): 1}",1,male,Canadian,3
652,"Day, Clarence",1,1,"{(6882, 'This Simian World'): 1}",1,male,American,2
653,"Dawson, Coningsby",1,1,"{(55470, 'Slaves of Freedom'): 1}",1,male,"American, Anglo-American, Canadian",8
654,"Dane, Clemence",1,1,"{(50712, 'Will Shakespeare: An Invention in Four Acts'): 1}",1,female,English,2
655,"Foote, Mary Hallock",1,1,"{(8219, 'The Desert and the Sown'): 1}",1,female,American,4
656,"Footner, Hulbert",1,1,"{(57088, 'The Owl Taxi'): 1}",1,male,"Canadian, American",6
657,"Forfar, William Bentinck",1,1,"{(41058, ""The Wizard of West Penwith: A Tale of the Land's-End""): 1}",1,male,British,1
658,"Gillmore, Inez Haynes",1,1,"{(38060, 'Out of the Air'): 1}",1,female,American,1
659,"Haggard, Andrew",1,1,"{(72182, ""Hannibal's daughter""): 1}",1,male,American,1
660,"Gunnison, Charles A.",1,1,"{(18660, 'The Beautiful Eyes of Ysidria'): 1}",1,male,,2
661,"Gregory, Lady",1,1,"{(41653, 'Seven Short Plays'): 1}",1,female,,4
662,"Gregory, Jackson",1,1,"{(10213, 'The Everlasting Whisper'): 1}",1,male,American,7
663,"Gregory, Eliot",1,1,"{(319, 'The Ways of Men'): 1}",1,female,English,2
664,"Gray, Maxwell",1,1,"{(72999, 'The suspicions of Ermengarde'): 1}",1,female,English,1
665,"Grahame, Kenneth",1,1,"{(5319, 'Pagan Papers'): 1}",1,male,Scottish,7
666,"Goodwin, Maud Wilder",1,1,"{(21690, 'Flint: His Faults, His Friendships and His Fortunes'): 1}",1,female,American,1
667,"Golding, Louis",1,1,"{(56037, 'Sorrow of War: Poems'): 1}",1,male,English,2
668,"Giltner, Leigh Gordon",1,1,"{(27024, 'The Path of Dreams\nPoems'): 1}",1,female,United States,1
669,"Gilson, Roy Rolfe",1,1,"{(40735, 'Miss Primrose: A Novel'): 1}",1,male,,2
670,"Gilbert, W. S. (William Schwenck)",1,1,"{(15370, 'Bab Ballads and Savoy Songs'): 1}",1,male,English,5
671,"Forster, E. M. (Edward Morgan)",1,1,"{(2891, 'Howards End'): 1}",1,male,English,4
672,"Gilbert, Bernard",1,1,"{(36803, 'Rebel Verses'): 1}",1,male,Canada,1
673,"Gibson, George Herbert",1,1,"{(45391, 'Southerly Busters'): 1}",1,male,,1
674,"Gardiner, A. G. (Alfred George)",1,1,"{(37858, 'Leaves in the Wind'): 1}",1,male,English,3
675,"Gardener, Helen H. (Helen Hamilton)",1,1,"{(37355, 'Pray You, Sir, Whose Daughter?'): 1}",1,female,American,2
676,"Führer, Ch. (Charlotte)",1,1,"{(8443, 'The Mysteries of Montreal: Being Recollections of a Female Physician'): 1}",1,female,German,1
677,"Furst, Clyde",1,1,"{(65249, 'The Observations of Professor Maturin'): 1}",1,,,1
678,"Fuller, Robert H. (Robert Higginson)",1,1,"{(37576, 'The Golden Hope: A Story of the Time of King Alexander the Great'): 1}",1,male,American,1
679,"Fuller, Henry Blake",1,1,"{(8891, 'With the Procession'): 1}",1,male,American,5
680,"Francis, John",1,1,"{(34575, 'The Triumph of Virginia Dale'): 1}",1,male,American,1
681,"Fowler, Ellen Thorneycroft",1,1,"{(19798, 'The Farringdons'): 1}",1,female,English,1
682,"Fothergill, Jessie",1,1,"{(29219, 'The first violin: A novel'): 1}",1,female,English,1
683,"Dale, Alan",1,1,"{(43983, 'Wanted: A Cook\nDomestic Dialogues'): 1}",1,male,New Zealand,1
684,"Curtis, George William",1,1,"{(8645, 'Prue and I'): 1}",1,male,American,1
685,"Crofts, Freeman Wills",1,1,"{(72986, 'The Cheyne mystery'): 1}",1,male,"Irish, French",1
686,"Baldwin, James",1,1,"{(30235, 'Six Centuries of English Poetry: Tennyson to Chaucer'): 1}",1,male,"American, English",2
687,"Blunt, Wilfrid Scawen",1,1,"{(43066, 'Griselda: a society novel in rhymed verse'): 1}",1,male,English,2
688,"Blaze de Bury, Fernande",1,1,"{(63939, 'The storm of London: a social rhapsody'): 1}",1,female,France,1
689,"Biggers, Earl Derr",1,1,"{(1814, 'The Agony Column'): 1}",1,male,American,3
690,"Beresford, J. D. (John Davys)",1,1,"{(59549, 'Signs & Wonders'): 1}",1,male,United Kingdom,4
691,"Benson, Stella",1,1,"{(67195, 'The Poor Man'): 1}",1,female,"British, English",4
692,"Bates, Oric",1,1,"{(55950, 'A Madcap Cruise'): 1}",1,male,American,1
693,"Bartley, Nalbro",1,1,"{(58785, 'The Gray Angels'): 1}",1,female,American,2
694,"Barry, John Arthur",1,1,"{(60482, ""Steve Brown's Bunyip, and Other Stories""): 1}",1,male,Australia,1
695,"Barrie, J. M. (James Matthew)",1,1,"{(14961, 'Sentimental Tommy\nThe Story of His Boyhood'): 1}",1,male,Scottish,19
696,"Barrett, James Francis",1,1,"{(26217, 'The Loyalist\nA Story of the American Revolution'): 1}",1,male,,1
697,"Banks, Nancy Huston",1,1,"{(35239, 'Oldfield: A Kentucky Tale of the Last Century'): 1}",1,female,American,2
698,"Bailey, Temple",1,1,"{(22292, 'Glory of Youth'): 1}",1,female,American,7
699,"Bridges, Victor",1,1,"{(67079, 'The Red Lodge: A Mystery of Campden Hill'): 1}",1,male,English,2
700,"Austin, Mary",1,1,"{(9913, 'The Trail Book'): 1}",1,female,United States,4
701,"Allen, Willis Boyd",1,1,"{(45413, 'The North Pacific: A Story of the Russo-Japanese War'): 1}",1,male,"United States, Kingdom of England",3
702,"Allen, James Lane",1,1,"{(3791, 'The Reign of Law; a tale of the Kentucky hemp fields'): 1}",1,male,American,9
703,"Alger, Horatio, Jr.",1,1,"{(293, ""Paul Prescott's Charge""): 1}",1,male,American,5
704,"Alexander, Mrs.",1,1,"{(41740, ""Ralph Wilton's weird""): 1}",1,female,Macedonia,2
705,"Aldrich, Mildred",1,1,"{(18004, 'Told in a French Garden\nAugust, 1914'): 1}",1,female,"American, French",1
706,"Alcott, Amos Bronson",1,1,"{(48067, 'Sonnets and Canzonets'): 1}",1,male,American,3
707,"Ade, George",1,1,"{(19829, 'Knocking the Neighbors'): 1}",1,male,American,7
708,"Adams, William Davenport",1,1,"{(47150, 'A Book of Burlesque: Sketches of English Stage Travestie and Parody'): 1}",1,male,English,1
709,"Adams, Henry",1,1,"{(14409, 'Esther'): 1}",1,male,"American, English",1
710,"Abbott, Lyman",1,1,"{(4954, 'Laicus; Or, the Experiences of a Layman in a Country Parish.'): 1}",1,male,American,1
711,"Bone, David W. (David William)",1,1,"{(31497, 'The Brassbounder: A Tale of the Sea'): 1}",1,male,"Scottish, British",1
712,"Brooks, Charles S. (Charles Stephen)",1,1,"{(37105, 'Hints to Pilgrims'): 1}",1,,,3
713,"Crane, Stephen",1,1,"{(31189, 'The Monster and Other Stories'): 1}",1,male,American,11
714,"Child, Lydia Maria",1,1,"{(10549, 'A Romance of the Republic'): 1}",1,female,American,1
715,"Cooper, Elizabeth",1,1,"{(33264, 'Living Up to Billy'): 1}",1,female,Philippines,2
716,"Coolidge, Dane",1,1,"{(29642, 'Hidden Water'): 1}",1,male,American,7
717,"Conwell, Russell H.",1,1,"{(60585, 'The Life, Travels, and Literary Career of Bayard Taylor'): 1}",1,male,American,1
718,"Converse, Florence",1,1,"{(42176, 'Long Will'): 1}",1,female,American,1
719,"Connor, Ralph",1,1,"{(3288, ""The Sky Pilot in No Man's Land""): 1}",1,male,Canadian,6
720,"Connolly, James B. (James Brendan)",1,1,"{(55654, ""The Deep Sea's Toll""): 1}",1,male,American,5
721,"Colton, Arthur",1,1,"{(50272, 'The Cruise of The Violetta'): 1}",1,male,"Scottish, British",8
722,"Cobban, J. Maclaren (James Maclaren)",1,1,"{(13931, 'Master of His Fate'): 1}",1,male,"Kingdom of England, Kingdom of Scotland",1
723,"Clay, Bertha M.",1,1,"{(74270, ""A woman's trust; or, Lady Elaine's martyrdom""): 1}",1,,,3
724,"Chubb, Edwin Watts",1,1,"{(26910, 'Stories of Authors, British and American'): 1}",1,male,,1
725,"Chopin, Kate",1,1,"{(160, 'The Awakening, and Selected Short Stories'): 1}",1,female,American,3
726,"Chatfield-Taylor, H. C. (Hobart Chatfield)",1,1,"{(33528, 'With Edge Tools'): 1}",1,male,American,1
727,"Brown, Ivor John Carnegie",1,1,"{(33096, 'Years of Plenty'): 1}",1,male,British,1
728,"Casparian, Gregory",1,1,"{(52913, 'An Anglo-American Alliance: A Serio-Comic Romance and Forecast of the Future'): 1}",1,male,Anglo-American,1
729,"Carr, J. Comyns (Joseph Comyns)",1,1,"{(66838, 'Coasting Bohemia'): 1}",1,,"British, English",1
730,"Capes, Bernard",1,1,"{(69579, 'Adventures of the Comte de la Muette during the Reign of Terror'): 1}",1,male,English,8
731,"Campbell, John",1,1,"{(17532, 'Two Knapsacks: A Novel of Canadian Summer Life'): 1}",1,male,United States,1
732,"Camp, Wadsworth",1,1,"{(33230, 'The Gray Mask'): 1}",1,male,American,1
733,"Butler, William Francis, Sir",1,1,"{(57113, 'Red Cloud, the Solitary Sioux: A Story of the Great Prairie'): 1}",1,male,"British, Irish",1
734,"Butler, Ellis Parker",1,1,"{(44148, 'The Confessions of a Daddy'): 1}",1,male,American,18
735,"Burt, Katharine Newlin",1,1,"{(10978, 'Hidden Creek'): 1}",1,female,American,2
736,"Burnham, Clara Louise",1,1,"{(20901, 'In Apple-Blossom Time: A Fairy-Tale to Date'): 1}",1,female,American,5
737,"Buchan, John",1,1,"{(560, 'Mr. Standfast'): 1}",1,male,"Scottish, British, Canadian",10
738,"Brownell, Gertrude Hall",1,1,"{(30642, 'Aurora the Magnificent'): 1}",1,female,"American, French",2
739,"Hammerton, J. A. (John Alexander)",1,1,"{(33763, 'The Call of the Town: A Tale of Literary Life'): 1}",1,male,British,1
740,"Hannay, David",1,1,"{(53796, 'Life of Frederick Marryat'): 1}",1,male,United Kingdom,1
741,"Hapgood, Hutchins",1,1,"{(26719, 'An Anarchist Woman'): 1}",1,male,American,1
742,"McDermott, William A.",1,1,"{(51886, ""Down at Caxton's""): 1}",1,male,American,1
743,"Mills, Weymer Jay",1,1,"{(47702, 'Through the Gates of Old Romance'): 1}",1,,,2
744,"Miller, John",1,1,"{(16366, ""The Workingman's Paradise: An Australian Labour Novel""): 1}",1,male,British,1
745,"Miller, Joaquin",1,1,"{(33220, ""First Fam'lies of the Sierras""): 1}",1,male,American,6
746,"Miller, Henry Russell",1,1,"{(24603, 'The House of Toys'): 1}",1,male,,1
747,"Miller, Elizabeth",1,1,"{(37862, 'Saul of Tarsus: A Tale of the Early Christians'): 1}",1,female,United States,3
748,"Miller, Alice Duer",1,1,"{(33985, 'Manslaughter'): 1}",1,female,American,4
749,"Mighels, Philip Verrill",1,1,"{(68249, 'When a witch is young: a historical novel'): 1}",1,male,American,3
750,"Meynell, Alice",1,1,"{(1434, 'Essays'): 1}",1,female,"English, British",10
751,"Meyer, Annie Nathan",1,1,"{(46519, 'Robert Annys: Poor Priest. A Tale of the Great Uprising'): 1}",1,female,American,1
752,"Merwin, Henry Childs",1,1,"{(34940, 'The Life of Bret Harte, with Some Account of the California Pioneers'): 1}",1,male,United States,1
753,"Merrick, Leonard",1,1,"{(43616, 'The Quaint Companions\nWith an Introduction by H. G. Wells'): 1}",1,male,English,7
754,"McCrae, John",1,1,"{(353, 'In Flanders Fields, and Other Poems'): 1}",1,male,Canadian,1
755,"Morrison, Arthur",1,1,"{(59319, 'Adventures of Martin Hewitt, Third Series'): 1}",1,male,"English, British",9
756,"McCarter, Margaret Hill",1,1,"{(13345, 'Vanguards of the Plains: A Romance of the Old Santa Fé Trail'): 1}",1,female,American,5
757,"Mather, Marshall",1,1,"{(14414, 'Lancashire Idylls (1898)'): 1}",1,male,,1
