,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
52,Ouida,6,16,"{(3465, 'Under Two Flags'): 3, (32199, 'A House-Party, Don Gesualdo, and A Rainy June'): 1, (37178, ""Cecil Castlemaine's Gage, Lady Marabout's Troubles, and Other Stories""): 2, (39745, 'Folle-Farine'): 4, (51487, 'Othmar'): 2, (69446, 'The Massarenes'): 4}",4,female,English,10
53,"Twain, Mark",9,16,"{(119, 'A Tramp Abroad'): 4, (245, 'Life on the Mississippi'): 1, (3177, 'Roughing It'): 3, (3185, 'Those Extraordinary Twins'): 1, (3194, ""Mark Twain's Letters — Volume 2 (1867-1875)""): 1, (3197, ""Mark Twain's Letters — Volume 5 (1901-1906)""): 1, (5837, 'Sketches New and Old, Part 2.'): 1, (19987, 'Chapters from My Autobiography'): 3, (61522, 'The £1,000,000 bank-note, and other new stories'): 1}",4,male,American,100
54,"DuPuy, William Atherton",1,15,"{(45474, 'Uncle Sam, Detective'): 15}",15,male,United States,1
55,"Dehan, Richard",4,15,"{(27966, 'The Dop Doctor'): 5, (51428, 'That Which Hath Wings: A Novel of the Day'): 2, (70431, 'Between two thieves'): 5, (75518, 'The just steward'): 3}",5,female,Irish,5
56,"Bramah, Ernest",2,15,"{(1076, 'The Wallet of Kai Lung'): 11, (1267, ""Kai Lung's Golden Hours""): 4}",11,male,English,5
57,"Harland, Marion",5,15,"{(5622, 'At Last: A Novel'): 2, (36414, 'Jessamine: A Novel'): 1, (46505, 'Alone'): 2, (49003, ""Marion Harland's Autobiography: The Story of a Long Life""): 1, (50512, ""Mr. Wayt's Wife's Sister""): 9}",9,female,American,4
58,"Phillpotts, Eden",8,15,"{(1577, 'The Grey Room'): 3, (14167, 'The Red Redmaynes'): 1, (14527, 'Children of the Mist'): 1, (46857, 'Sons of the Morning'): 2, (47265, ""Pixies' Plot""): 1, (58355, 'The Three Brothers'): 2, (61549, 'Knock at a Venture'): 1, (71941, 'Children of men'): 4}",4,male,English,17
59,"Chambers, Robert W. (Robert William)",8,15,"{(7492, 'The Fighting Chance'): 1, (11904, 'Ailsa Paige: A Novel'): 1, (18515, 'Police!!!'): 1, (25623, 'Barbarians'): 1, (37528, 'Quick Action'): 1, (38958, 'Cardigan'): 2, (53249, 'The Laughing Girl'): 2, (53289, 'The Restless Sex'): 6}",6,male,American,32
60,"Marchmont, Arthur W.",3,15,"{(35828, 'By Wit of Woman'): 13, (38357, 'By Right of Sword'): 1, (63320, 'When I Was Czar'): 1}",13,male,United Kingdom of Great Britain and Ireland,7
61,"Thackeray, William Makepeace",3,14,"{(1969, 'Catherine: A Story'): 9, (7467, 'The Newcomes: Memoirs of a Most Respectable Family'): 4, (8123, 'The Virginians'): 1}",9,male,"English, British",1
62,"Norris, Frank",5,14,"{(268, 'The Octopus : A Story of California'): 1, (321, 'Moran of the Lady Letty'): 6, (401, 'Blix'): 2, (14712, 'Vandover and the Brute'): 4, (16096, ""A man's woman""): 1}",6,male,American,6
63,"Adams, Samuel Hopkins",4,14,"{(6864, 'Average Jones'): 2, (15431, 'Success: A Novel'): 2, (16447, 'The Clarion'): 8, (44324, 'The Flying Death'): 2}",8,male,American,9
64,"Reed, Myrtle",3,14,"{(12672, 'A Spinner in the Sun'): 10, (18057, 'Flower of the Dusk'): 3, (33601, ""The Master's Violin""): 1}",10,female,American,9
65,"Combe, William",1,14,"{(42299, 'The History of Johnny Quæ Genus, the Little Foundling of the Late Doctor Syntax.\r\nA Poem by the Author of the Three Tours.'): 14}",14,male,British,1
